[DEBUG] 2020-12-04 11:14:19.239 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@47ee6c0e
[DEBUG] 2020-12-04 11:14:19.252 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@477c5f61
[DEBUG] 2020-12-04 11:14:19.254 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@477c5f61
[DEBUG] 2020-12-04 11:14:19.261 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@19d42b85
[DEBUG] 2020-12-04 11:14:19.261 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@19d42b85
[DEBUG] 2020-12-04 11:14:19.279 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@37b5bb78
[DEBUG] 2020-12-04 11:14:19.279 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@37b5bb78
[DEBUG] 2020-12-04 11:14:19.299 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@d15405e
[DEBUG] 2020-12-04 11:14:19.299 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@d15405e
[DEBUG] 2020-12-04 11:14:19.324 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3fbd67ea
[DEBUG] 2020-12-04 11:14:19.325 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3fbd67ea
[DEBUG] 2020-12-04 11:14:19.347 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@413a1b7f
[DEBUG] 2020-12-04 11:14:19.351 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@413a1b7f
[DEBUG] 2020-12-04 11:14:19.384 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@53fb872f
[DEBUG] 2020-12-04 11:14:19.385 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@53fb872f
[DEBUG] 2020-12-04 11:14:19.388 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@277cb7b4
